source,target
Maolah a komaen kako to lalopela'.,我喜歡吃水木耳。
O aahowiden no mita ko pasifana'ay a singsi.,教導我們的老師是值得我們感謝的。
Makesi' to ko nanom no riyar.,海水退潮了。
Sasa emel saan ko romiad a nini.,今天的天氣非常的涼爽。
Mapa'oning no tawo ko ngangan nira.,他的名譽被他人所沾污。
Pacena'en ho a taloma' miliso' to mama ato ina iso.,請暫時休息回家探視你的父母親。
Aka tomireng i fati'ian ako.,不要站在我身傍。
"Ma'icang to kora nipawalian a fodoy, nga'ay to a lidongen.",曬的衣服乾了，可以收進來了。
Ci'araparay ko nitodohan ni mama to 'asisiw.,爸爸燒的稻草散發星火。
O mademakay no mako kira sioy.,那個鍋子是被我動過的。
A siroma saw?,有差別嗎？
O naniropayan i nacila kira pi'onipan no mita a nini.,我們今天栽種秧苗的地方是昨天弄平坦的。
Mapakonling ko kapah to tayal no ilisin.,青年接受豐年祭事務的訓練。
Hafelot han ni Karo ko kafang ako a mapolin toya pita'elifnira tatihi ako.,Karo經過我旁邊時，撞到我的書包而跌倒。
Mitala kako ci Akian aci Panayan.,我在等阿基和巴奈。
O kohetingay ko sioy nifaki ako.,我叔叔的鍋子是黑色的。
O hafay ko tadamaanay a kakaenen no Pangcah i tiya ho.,在很久以前
Cowat sato ko tayal no mako a talaTaypak.,我的工作擴展到台北。
O calowayan ko safangcalay kadakawan i Taypak.,捷運是台北最好的交通工具。
Nima a tikami kora?,那是誰的信？
Matayal ci mama a mihongko to panay.,爸爸忙著風穀稻米。
Masacacakelaw ko cengel no cokor ni faki.,舅舅柺杖的顏色像雨傘節蛇。
Mayamayam ko niilohan a lotok.,火燒山的火烈火熊熊。
Falo ko widi ko kalisawotan ita.,我們集合的時間是八點鐘。
I papotal ko pisaaningan no niyaro'.,部落的舞台在外面。
O ciparokay kamo a talalotok haw?,你們有帶棉被去山上嗎？
Tarang han kira lietecay a kamay no miso.,烘暖你那隻冰冷的手。
patiyamay.,工作人員將竹子燒得堅硬後在店裡販賣。
O macekelay a maemin ko panay no mita.,我們的水稻全部都低垂著。
O maan ko cengel no cahid i kakarayan?,天上的雲是什麼顏色？
O mapatikamiay no i faleday ko niyaro' niyam.,我們部落有被上級寫信。
Maenecay no paliding ko sakatowis nira.,他腿瘸的原因是被車子碾壓。
Mararid a tayra kami i picodadan a mimali.,我們經常到學校打球。
Tadamakelec ko karariting nonini a saso'ot.,這些繩子拴得可真緊。
"Mipalimo'ot ci ina i tamiyanan to dafadafak, ""kalalok a micodad"" saan.",媽媽每天早上叮嚀我們：「要勤學」。
Cima ko mipacoenekay to hawan i tatakel.,誰在籘床上插入大刀。
"Matini ko to'as ako, halhal sato kako to pahafay no wawa.",我年邁體衰了，只望小孩的反哺。
O tanatana'an ko lotok ni akong.,阿公的山上都是刺蔥林。
Cifo'isay ko kakarayan.,天空有星星。
Saheto o Pangcah ko romadiway i dadaya.,昨天晚上全都是阿美族在唱歌。
O mi'adiyamay ko tayal no mato'asay niyam.,我們長輩的工作是採生薑的。
Tadakareteng kora wawa.,那小孩真重。
O sinofo ako i tamowanan kiraan a cepi no siri saan cifaki ako.,舅舅說那個山羊的腿是我攜帶給你們的心意。
I lotok ko 'adihayay a 'adidem.,桑樹山上比較多。
Masaefoefong ko lalan no omaomahan.,田間到處都是窪地。
O likes ko micepcepay to li'el no miso haw?.,是蚊子吸了你的脖子嗎？
O rakes kona kilang.,這是棵樟樹。
"Mato'as ko wawa, mato'as kita.",小孩長大，我們也老了。
O denga no kedang i dipot.,新生兒感染到淋球菌結膜炎。
Cima ko mi'afalangay no mita tina kasoy.,我們誰來扛這些木柴。
Aka pitapa' to tamdaw.,不要砍人！
"Maharateng ako kora demak, mararom ko faloco' ako.",我想起那件事心裏就難過。
"Kitkit han iso kora caay ho ka 'akik a doka, caay ka nga'ay kahatira.",你剝那未結痂傷口，那樣不好。
O masinangay kiraan a hawan ni faki ako.,我叔叔的工作配刀很有利。
O marenecay kako to olah no miso i takowanan.,我很滿足你對我的愛。
O faca' ko sa'ayaw a nananamen no wawa to fafahiyan.,女孩最先學習的工作是洗衣服。
Malaina kako ano roma a miheca.,明年我要當媽媽了。
Marocekay a mapafeli kiso to sapicodad haw?,你有分別拿到學費嗎？
Mafilfil kina kaying.,這個小姐很多話。
O onol ako koni.,這是我的責任。
Micedeng ciira i Taypak mikilim to tatayalan.,他在台北找工作久未回家。
Misaromi'ad ciira a mitiri' to codad.,他成天在閱讀書籍。
Monanaway kira wawa i mintang i matini.,那個孩子現在臉盆洗手。
O lafii ko picodad no mako to romi'ami'ad.,每天我都是用夜晚來讀書。
Miseked ciira a ciloma'.,他分家另起爐灶。
Sikadang a maemin ko fafahiyan nonini a loma'.,這戶人家的女孩每個都帶著手鐲。
I fangafangasan ko ekong a moko to daydayadaya.,夜晚貓頭鷹喜歡停留苦楝樹林裡。
Sa'amelasen nira tayring a miraod to ma'amelasay a kapah.,那個警察假裝風流來接近風流的青年。
O dafak ko katahiraan niyam.,我們抵達那兒的時間是早上。
O masengsengay a sifilo kiraan to tireng no miso.,那件西裝很合你的身體。
Miki'adidem ko wawawawa.,孩子們找桑椹。
Paon^on ko mama no kapah imatini.,現在青年的領導者在宣導政令。
Fahfah han no Pangcah ko pifahoy to palafoay a kawas.,阿美族稱驅逐邪魔的祭祀為fahfah。
O caleng ko dawdaw no mato'asay i tiya ho.,古代老人家以松樹當火燈用。
Aka piliyas han ni Tipos ci Kacaw a mitangic.,狄布絲祈求卡造不要離開。
Pacikafen niyam a misanga' to mangah a foting.,假的魚我們貼上魚鱗。
Malingad to kako a talapicodadan.,我出門上學了哦。
Masaecaw ko hakhak.,糯米已釀成酒了。
Matemer ko kamay no mako yo milikat to dingki.,我的手開燈時被電到。
Fangsis ko macelakay a hana no datay.,七里香的花開了真香。
O nini koya sa'idoc nira toya tomay.,他用來標射熊的就是這把長矛。
Maherek to kako a milekakawa to lalosidan.,行李我已整理好了。
"Masiwar ko kasarayaray namo, pamo^celen!",你們所排的隊伍偏斜了，請排整齊。
I satiraw haca kiso to mamang.,你再往那邊一點。
Pito ko romiad to cacay a lipay.,一個禮拜有七天。
O nipacimilan no tomok caira.,他們被頭目取了綽號。
Ma'adangen kako to ngiha' no dadacdac.,我覺得蟬叫聲很吵。
Sakahengang saan ko pising no miso ano mangodo.,你害羞時臉好紅。
O 'atikak ko sapariri' niyam to foting.,我們用蚯蚓作魚餌。
Pakaen kako to kolong.,我在餵牛。
Pacawhien ko fanaw no namo o malonanengnengan no lafang.,你們的池塘要養鱸魚好讓客人觀賞。
Mo^tepen ko fa'inayan.,男生要十位。
O rara' ko sakalafi no mita.,我們的晚餐是豆子湯。
Mi'id'id ci akong to titi no kolong i potal.,阿公在前院烤牛肉。
Lihway ko nisanga'an no mako a fodoy.,我製作的衣服很寬鬆。
Mapatireng ko salil no miciriciriay i lotok.,抓白耳畫眉鳥的網子豎立在山上。
Miconacon kora mato'asay to nanom i fanaw a mifoting.,那位老人家在池塘裡攪動水來抓魚。
Manga'ay kako a tayra haw?,我可以去嗎？
Matocirot ko cicax i Pingtong.,屏東的伯勞鳥像赤背伯勞鳥。
Calcal han ni mama ko kilang.,爸爸劈木頭。
Misa'atekakay kako to para' ako a tomireng.,我站著是要讓我的屁股硬硬的。
O sakapades no 'orip pakoyoc.,貧窮的生活使我們痛苦。
O macoliay kina tamdaw to fiyaw nira.,這個人對他的鄰居很會回嘴的。
Tatiih a mamang ko ngiro i lotok to dadaya.,在山上晚上的火烤不能很小。
O karataliay kina sapaloma.,這枝苗會長滿芋頭。
Maolah ci Kolas a komaen to foting.,古拉斯很喜歡吃魚。
Cikanoos to cikaf no foting ko fafahi.,女人穿戴魚鱗指甲。
O tanakerit ako kora mokin.,那是我所切過的年糕。
Misamadah caira a mangangihod a sowal.,她們輕輕地交頭接耳。
O kodiwis ko hacikayay to rarokoh.,兔子跑得比烏龜快。
Maladafdaf ko lotok niyam to nika ri'ri'.,我們崩落的山成為平地。
"Hapericen no maomahay ko panay, ta paroen naira i pawti.",農夫撥下稻穀後並裝進麻袋裏。
O milakisay to fana' no to'asay ko tomok no niyaro'.,部落的頭目是留傳先輩智慧的人。
Kerit han nira wawa kira pawli.,那位孩子將那香蕉割下了。
Ano hacowa marepon a patiko konini a tadah?,何時還完這個債？
Hahakeno san ko sito ano licayen no singsi.,老師問學生，學生卻一直說不知道。
Mitadimtimay ci ina i omah.,媽媽在田裏採兔兒菜。
Tosaen ko foting!,要兩隻魚！
Aday^ay ko faloco' no wawa ako a paka'araw to ki'a'amay.,我的小孩看到乞丐都會起惻隠之心。
O ciwciw no tolok konini.,這是環頸雞的小雞。
Pilatek saan ko tamdaw a mikilim to katayalan.,人各憑其志找工作做。
O mapaloay no kapot nira i honi.,剛剛被他的同學打。
Kesem saan kako to sowal nira.,我對他的話很失望難過。
Palatomok to mama ako ko finawlan no niyaro.,居民設立我的爸爸
Ifenek ciira a matayal.,他工作很勤奮。
O sasakiloen ko kolang.,芥菜是用來做鹹菜的。
Pakalaenoay ko loma no mako.,我的家是最底下的。
O rengos a maemin ko molengaway i padatengan ni ina.,媽媽的菜園裡生長的都是草。
Awaay ko pisaparokan i niyaro' no Pangcah.,阿美族的部落没有棉被店。
Kala'alofoen nira ko pawti a mikoyod.,他將麻袋當成背包揹起來。
O mala'odotay caira a malekaka i loma na ira i nacila.,他們姐妹倆昨天在她們家裡吵架。
Milidafak ci ina a mifaca'.,媽媽趁早起床洗衣服。
Maolah kiso miyakiw?,你喜歡打棒球嗎？
Awaay to ko mama no miso.,你的爸爸已去世了。
Misieday i 'a'enocan no mako ko ceka no foting.,魚刺卡在我的喉嚨。
lalongocen no mako to maanan.,我没有任何需求。
O marasrasay i sinasera ko kodasing.,花生在地上撒落一地。
O sakarihawan to kako i matini.,現在我將要聲音嘶啞了。
Kamoko' ko kimad no singsi anini.,老師今天的演說很短。
Pitengil ko citangilaay a tamdaw!,有耳朵的人傾聽！
"Ira ko cena' no tayal a pahanhan, saka minokay kako.",因為工作有短暫的休息所以我才回來。
Aka patelas saan a mifalah to kakicoh.,不要亂丟果蒂。
'Opo han no mita ko iraay a sito.,我們把學生集合起來。
Mafana' a mikingkiw ko ising to adada no tekelo.,醫生很會研究醫治人
Coleken a talalotok mikasoy!,立刻去山上砍木柴！
Opir han no mato'asay ko 'asisiw a misanawa.,老人家用稻草編製成草繩。
Masanawsaw kako to wawa ako.,我擔心我的小孩。
Pacocoen ko wawa iso to hacol no kolong!,你要餵你小孩喝牛奶。
Pamiyaten ko kakeroan no mita ano dadaya.,晚上我們跳舞的地方裝置閃亮一點。
Papicekoren ko lafang ita to kakahad no riyad.,讓我們的客人眺望寬廣的海。
O citanengay ko malatomokay no niyaro.,部落的頭目都是很聰明的。
Caay katama ako.,我没有找到。
Maroray ci ina miliyon to felac.,媽媽碾米很辛苦。
Pakiseraayen ko pisacacak to sinafel!,煮菜加點生薑！
Pakaheciden ko kafi no foting.,魚湯鹹一點。
Midipdip ci Mayaw to picodad no wawa nira i picodadan.,Mayaw去窺視他孩子在學校的讀書情況。
O nangatoan no mako a midisdis to tefos i tini.,這裡是我未完成要接續削甘蔗的。
O fangas a kilang ko nipalomaan no mama^ no mako.,我父親種的是苦楝樹。
Pasaadawang no picodadan ciira a romakat.,他朝學校的大門走。
Mafana' ci faki ako a misanga' to fakar.,我叔叔很會做竹簍。
Cicarofacof ko niyaro' no fanaw to dafadafak.,池上每天早晨都有霧氣籠罩。
Mafowakay ko nanom imatini.,水正在開。
Mikalilingay kami to ra'ra' a malafi.,我們正在用湯匙舀豆湯吃晚餐。
Mata'elif to ko kacicedeman no wirok.,柚子的甜度過頭了。
Mecmec han no ising ko coco ako a mihapinang.,醫生用手掌捏住我的乳房檢查。
Adihay ko kaloserangawan i Taywan.,台灣各個文化很多元。
"Matalaw ka'alawan tira piyang, saka ta'emod hato nira a komaen.",因怕糖果被搶，所以他就吞下吃了。
